rewrite_id,rewrite_label,dataset,variant,run,source_file,relation,rule_src,rule_runtime_us,rule_num_tuples,rule_maxRSS_post,rule_runtime_ms
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,1,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run1.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",303150,499537,60032,303.15
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,1,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run1.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",421088,499537,72192,421.088
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,1,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run1.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56114,67499,85888,56.114
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,1,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run1.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1539835,432038,83200,1539.835
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,10,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run10.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",295778,499537,60032,295.778
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,10,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run10.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",443653,499537,72064,443.653
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,10,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run10.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57219,67499,85760,57.219
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,10,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run10.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1542791,432038,82944,1542.791
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,11,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run11.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",291571,499537,60032,291.571
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,11,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run11.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",437414,499537,72192,437.414
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,11,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run11.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56774,67499,86016,56.774
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,11,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run11.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1551303,432038,83200,1551.303
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,12,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run12.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",289681,499537,60032,289.681
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,12,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run12.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",421956,499537,72192,421.956
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,12,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run12.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56614,67499,86016,56.614
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,12,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run12.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1540550,432038,83328,1540.55
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,13,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run13.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",283620,499537,59904,283.62
