rewrite_id,rewrite_label,dataset,variant,run,source_file,program_runtime_us,program_runtime_ms,program_maxRSS_MB
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,1,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run1.json,2721775,2721.775,83.875
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,2,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run2.json,2720159,2720.159,83.875
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,3,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run3.json,2858969,2858.969,83.875
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,4,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run4.json,2719644,2719.644,83.875
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,5,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run5.json,2753275,2753.275,84.125
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,6,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run6.json,2758103,2758.103,84.0
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,7,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run7.json,2741853,2741.853,83.875
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,8,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run8.json,2726983,2726.983,84.0
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,9,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run9.json,2710419,2710.419,84.0
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,10,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run10.json,2724566,2724.566,83.75
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,11,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run11.json,2710608,2710.608,84.0
