dataset,variant,baseline_rewrite,rewrite_label,rewrite_id,median_ms,delta_vs_baseline_pct
data_5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,0_origineel_programma_bounded_negation_voor_herschrijving,0,2723.1705,0.0
data_5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,3,6473.3060000000005,137.7121080005824
data_5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4,6516.668,139.30444311143935
data_5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,5_adoms_weggehaald,5,6472.97,137.69976944153882
data_5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,6_laatste_optimalisaties,6,7257.4175,166.50617359434526
data_5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,7_original_unfolded,7,2558.346,-6.052669122260257
data_5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,0_origineel_programma_bounded_negation_voor_herschrijving,0,2749.4764999999998,0.0
data_5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,3,6497.8805,136.33155257009838
data_5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4,6497.5465,136.31940480305983
data_5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,5_adoms_weggehaald,5,6465.130999999999,135.14043491551936
data_5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,6_laatste_optimalisaties,6,7199.389,161.84580955683748
data_5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,7_original_unfolded,7,2557.9085,-6.967435437255043
data_5000nodes_0p1density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,0_origineel_programma_bounded_negation_voor_herschrijving,0,10856.171,0.0
data_5000nodes_0p1density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,3,36575.6705,236.91133365530072
data_5000nodes_0p1density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4,36675.036,237.82662413847385
data_5000nodes_0p1density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,5_adoms_weggehaald,5,36521.6695,236.41391149789374
data_5000nodes_0p1density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,7_original_unfolded,7,9765.705,-10.044664919150591
data_5000nodes_0p1density,std,0_origineel_programma_bounded_negation_voor_herschrijving,0_origineel_programma_bounded_negation_voor_herschrijving,0,10894.135,0.0
data_5000nodes_0p1density,std,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,3,36492.964,234.97807765371
data_5000nodes_0p1density,std,0_origineel_programma_bounded_negation_voor_herschrijving,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4,36647.846000000005,236.39977841288
data_5000nodes_0p1density,std,0_origineel_programma_bounded_negation_voor_herschrijving,5_adoms_weggehaald,5,36563.6895,235.62728477295352
data_5000nodes_0p1density,std,0_origineel_programma_bounded_negation_voor_herschrijving,7_original_unfolded,7,9740.9155,-10.585691291690447
data_5000nodes_0p2density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,0_origineel_programma_bounded_negation_voor_herschrijving,0,21840.575,0.0
data_5000nodes_0p2density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,3,80975.156,270.75560510655055
data_5000nodes_0p2density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4,80987.3455,270.8114163660984
data_5000nodes_0p2density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,5_adoms_weggehaald,5,80709.34349999999,269.53854694759633
data_5000nodes_0p2density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,7_original_unfolded,7,19377.177499999998,-11.278995630838484
data_5000nodes_0p2density,std,0_origineel_programma_bounded_negation_voor_herschrijving,0_origineel_programma_bounded_negation_voor_herschrijving,0,21825.305500000002,0.0
data_5000nodes_0p2density,std,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,3,80885.8855,270.60597158651456
data_5000nodes_0p2density,std,0_origineel_programma_bounded_negation_voor_herschrijving,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4,81043.371,271.3275445331108
data_5000nodes_0p2density,std,0_origineel_programma_bounded_negation_voor_herschrijving,5_adoms_weggehaald,5,80824.602,270.3251805570373
data_5000nodes_0p2density,std,0_origineel_programma_bounded_negation_voor_herschrijving,7_original_unfolded,7,19362.1695,-11.285688532515625
