dataset,variant,rewrite_id,rewrite_label,N,median_ms,iqr_ms,mean_ms,sd_ms,min_ms,max_ms,median_maxRSS_MB
data_5000nodes_0p02density,noopt,0,0_origineel_programma_bounded_negation_voor_herschrijving,30,2723.1705,52.87474999999995,2734.8757333333333,64.08045659138922,2642.206,2922.875,83.875
data_5000nodes_0p02density,noopt,3,3_unfolding,30,6473.3060000000005,110.87625000000025,6510.776333333333,95.90862763115715,6390.759,6819.223,62.125
data_5000nodes_0p02density,noopt,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,6516.668,126.12425000000076,6527.991433333333,91.8939264488412,6386.681,6757.833,62.0
data_5000nodes_0p02density,noopt,5,5_adoms_weggehaald,30,6472.97,74.50174999999945,6495.0398,68.17503890438027,6394.269,6706.843,62.0
data_5000nodes_0p02density,noopt,6,6_laatste_optimalisaties,30,7257.4175,226.9454999999998,7251.755999999999,131.27754491836407,7039.923,7485.25,60.5
data_5000nodes_0p02density,noopt,7,7_original_unfolded,30,2558.346,26.604749999999967,2562.098266666667,28.16042031173059,2517.059,2641.143,60.375
data_5000nodes_0p02density,std,0,0_origineel_programma_bounded_negation_voor_herschrijving,30,2749.4764999999998,100.70425000000023,2769.6138,74.95496440525555,2691.148,3019.681,83.875
data_5000nodes_0p02density,std,3,3_unfolding,30,6497.8805,97.7480000000005,6497.652533333333,85.28739760635425,6322.072,6759.878,62.125
data_5000nodes_0p02density,std,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,6497.5465,140.39300000000003,6514.706833333333,76.97563440828202,6418.723,6676.498,62.0
data_5000nodes_0p02density,std,5,5_adoms_weggehaald,30,6465.130999999999,136.33749999999964,6490.1984999999995,100.33684375753577,6340.455,6714.377,62.0
data_5000nodes_0p02density,std,6,6_laatste_optimalisaties,30,7199.389,175.75,7223.004033333334,124.63532894269584,7039.495,7489.946,60.5
data_5000nodes_0p02density,std,7,7_original_unfolded,30,2557.9085,39.36725000000024,2570.140966666667,39.12463638300412,2521.597,2671.34,60.375
data_5000nodes_0p1density,noopt,0,0_origineel_programma_bounded_negation_voor_herschrijving,30,10856.171,119.22049999999945,10870.407166666668,83.21031045410093,10739.293,11085.913,426.875
data_5000nodes_0p1density,noopt,3,3_unfolding,30,36575.6705,317.24775000000227,36547.60366666667,225.69920096711735,36061.756,36892.519,326.125
data_5000nodes_0p1density,noopt,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,36675.036,223.6854999999996,36651.4836,246.01585252224615,35903.878,37131.268,326.25
data_5000nodes_0p1density,noopt,5,5_adoms_weggehaald,30,36521.6695,251.7520000000004,36558.6883,211.2095781182925,36127.805,36976.447,326.125
data_5000nodes_0p1density,noopt,7,7_original_unfolded,30,9765.705,133.30025000000023,9782.994166666667,92.40494634435014,9668.687,10044.265,322.375
data_5000nodes_0p1density,std,0,0_origineel_programma_bounded_negation_voor_herschrijving,30,10894.135,141.86175000000003,10892.157533333335,174.6535273908048,10503.895,11458.086,426.875
data_5000nodes_0p1density,std,3,3_unfolding,30,36492.964,283.6209999999992,36532.450633333334,214.36882802221783,35990.082,36980.734,326.25
data_5000nodes_0p1density,std,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,36647.846000000005,259.1250000000073,36657.29993333333,189.7430223077488,36332.17,37044.662,326.25
data_5000nodes_0p1density,std,5,5_adoms_weggehaald,30,36563.6895,261.36550000000716,36553.754766666665,151.30135284434616,36303.545,36815.815,326.125
data_5000nodes_0p1density,std,7,7_original_unfolded,30,9740.9155,66.82075000000077,9747.326633333334,69.798591380156,9596.841,9888.452,322.375
data_5000nodes_0p2density,noopt,0,0_origineel_programma_bounded_negation_voor_herschrijving,30,21840.575,124.19274999999834,21827.623533333335,132.67140427457863,21387.117,22020.233,854.25
data_5000nodes_0p2density,noopt,3,3_unfolding,30,80975.156,582.1684999999998,80977.72353333332,330.33779904972414,80416.061,81648.199,658.25
data_5000nodes_0p2density,noopt,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,80987.3455,443.5627499999973,81155.6649,1229.893948871011,79598.426,86267.382,658.375
data_5000nodes_0p2density,noopt,5,5_adoms_weggehaald,30,80709.34349999999,851.0394999999844,80771.3082,594.4470538884464,79775.072,82243.498,658.3125
data_5000nodes_0p2density,noopt,7,7_original_unfolded,30,19377.177499999998,99.99599999999919,19369.265233333335,131.2948669505561,18973.098,19616.861,653.3125
data_5000nodes_0p2density,std,0,0_origineel_programma_bounded_negation_voor_herschrijving,30,21825.305500000002,177.71925000000192,21849.5844,199.35295328302016,21287.996,22461.652,854.3125
data_5000nodes_0p2density,std,3,3_unfolding,30,80885.8855,466.9800000000105,80834.6941,410.30603321359206,79809.097,81604.135,658.25
data_5000nodes_0p2density,std,4,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,81043.371,478.53300000001036,80966.13666666667,382.5434262139934,79727.912,81678.018,658.375
data_5000nodes_0p2density,std,5,5_adoms_weggehaald,30,80824.602,807.3989999999903,80838.97843333334,657.728799034962,79409.783,82231.735,658.25
data_5000nodes_0p2density,std,7,7_original_unfolded,30,19362.1695,174.74499999999898,19376.618033333332,146.44482807186836,19109.948,19765.954,653.375
