program,rewrite_id,dataset,variant,run,relation,rel_runtime_ms,rel_load_ms,rel_save_ms,rel_num_tuples,rel_source
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,T1,303.41,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,T2,421.323,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,edge,,298.359,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,result_bounded_negation,1596.213,,80.736,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,T1,296.132,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,T2,443.893,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,edge,,298.393,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,result_bounded_negation,1600.293,,64.255,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,T1,291.816,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,T2,437.636,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,edge,,286.475,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,result_bounded_negation,1608.336,,65.523,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,T1,289.911,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,T2,422.178,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,edge,,295.268,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,result_bounded_negation,1597.422,,64.522,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,T1,283.847,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,T2,412.244,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,edge,,302.309,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
