program,rewrite_id,dataset,variant,run,relation,rule_kind,rule,rule_runtime_ms,rule_num_tuples,rule_source
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",303.15,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",421.088,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.114,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1539.835,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",295.778,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",443.653,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",57.219,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1542.791,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",291.571,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",437.414,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.774,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1551.303,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",289.681,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",421.956,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.614,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1540.55,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",283.62,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",412.025,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.037,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1529.916,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",284.023,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",433.26,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55.478,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1540.616,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",284.921,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",418.132,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",58.749,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1553.849,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",328.307,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",457.499,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",61.961,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1602.594,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",288.262,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",405.263,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55.934,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1518.11,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",284.931,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",453.008,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55.396,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1583.635,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",289.049,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",422.309,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56.008,67499,0_origineel_programma_bounded_negation_voor_herschrijving.dl [18:1-18:61]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,result_bounded_negation,non-recursive-rule,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1538.055,432038,0_origineel_programma_bounded_negation_voor_herschrijving.dl [17:1-17:69]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,T1,non-recursive-rule,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",320.602,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [7:1-7:49]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,T2,non-recursive-rule,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",412.275,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [11:1-11:49]
