program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,1,2721.775,2.721775,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,10,2724.566,2.724566,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,11,2710.608,2.710608,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,12,2690.191,2.690191,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,2670.869,2.670869,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,2696.413,2.696413,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,2705.085,2.705085,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,2841.615,2.841615,85760
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,2649.533,2.649533,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,2754.207,2.754207,85760
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,2687.409,2.687409,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,2720.159,2.720159,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,20,2734.449,2.734449,85760
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,2642.206,2.642206,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,2650.997,2.650997,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,2769.651,2.769651,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,2711.98,2.71198,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,2693.822,2.693822,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,2726.342,2.726342,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,2922.875,2.922875,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,2862.783,2.862783,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,2745.998,2.745998,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,3,2858.969,2.858969,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,30,2743.493,2.743493,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,4,2719.644,2.719644,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,5,2753.275,2.753275,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,6,2758.103,2.758103,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,7,2741.853,2.741853,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,8,2726.983,2.726983,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,9,2710.419,2.710419,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,1,2704.402,2.704402,85760
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,10,2807.605,2.807605,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,11,2766.3,2.7663,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,12,2817.952,2.817952,85632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,13,2806.384,2.806384,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,14,2712.234,2.712234,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,15,2691.148,2.691148,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,16,2720.832,2.720832,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,17,2779.809,2.779809,85632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,18,2816.76,2.81676,85632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,19,2747.448,2.747448,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,2,3019.681,3.019681,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,20,2735.845,2.735845,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,21,2726.755,2.726755,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,22,2725.097,2.725097,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,23,2767.564,2.767564,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,24,2715.504,2.715504,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,25,2706.275,2.706275,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,26,2699.116,2.699116,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,27,2691.165,2.691165,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,28,2691.486,2.691486,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,29,2844.364,2.844364,85760
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,3,2751.505,2.751505,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,30,2766.422,2.766422,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,4,2725.594,2.725594,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,5,2713.188,2.713188,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,6,2837.386,2.837386,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,7,2906.599,2.906599,85632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,8,2826.498,2.826498,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,9,2867.496,2.867496,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,1,10797.544,10.797544,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,10,10814.984,10.814984,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,11,10859.205,10.859205,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,12,10963.117,10.963117,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,13,10880.625,10.880625,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,14,10884.66,10.88466,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,15,10825.727,10.825727,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,16,10789.711,10.789711,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,17,11085.913,11.085913,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,18,10945.677,10.945677,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,19,10739.293,10.739293,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,2,10817.963,10.817963,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,20,10793.097,10.793097,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,21,10825.724,10.825724,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,22,10798.328,10.798328,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,23,10779.228,10.779228,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,24,11040.435,11.040435,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,25,10835.092,10.835092,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,26,10815.363,10.815363,437632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,27,11001.456,11.001456,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,28,10853.137,10.853137,436992
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,29,10863.631,10.863631,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,3,10944.734,10.944734,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,30,10965.377,10.965377,436992
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,4,10868.314,10.868314,437504
