dataset,program,method,stat,p_value,n_std,n_noopt,n_paired
5000nodes_0p02density,0_origineel_programma_bounded_negation_voor_herschrijving,wilcoxon,137.0,0.049710121005773544,30,30,30
5000nodes_0p02density,3_unfolding,wilcoxon,221.0,0.8235769439488649,30,30,30
5000nodes_0p02density,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,wilcoxon,195.0,0.4521643426269293,30,30,30
5000nodes_0p02density,5_adoms_weggehaald,wilcoxon,200.0,0.5158484429121017,30,30,30
5000nodes_0p02density,6_laatste_optimalisaties,wilcoxon,199.0,0.5027610473334789,30,30,30
5000nodes_0p02density,7_original_unfolded,wilcoxon,197.0,0.4771064817905426,30,30,30
5000nodes_0p1density,0_origineel_programma_bounded_negation_voor_herschrijving,wilcoxon,200.0,0.5158484429121017,30,30,30
5000nodes_0p1density,3_unfolding,wilcoxon,226.0,0.9032264724373817,30,30,30
5000nodes_0p1density,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,wilcoxon,223.0,0.8552717231214046,30,30,30
5000nodes_0p1density,5_adoms_weggehaald,wilcoxon,224.0,0.871207794174552,30,30,30
5000nodes_0p1density,7_original_unfolded,wilcoxon,171.0,0.21293285302817822,30,30,30
5000nodes_0p2density,0_origineel_programma_bounded_negation_voor_herschrijving,wilcoxon,211.0,0.6701805889606476,30,30,30
5000nodes_0p2density,3_unfolding,wilcoxon,164.0,0.1641840822994709,30,30,30
5000nodes_0p2density,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,wilcoxon,203.0,0.5561132747679949,30,30,30
5000nodes_0p2density,5_adoms_weggehaald,wilcoxon,223.0,0.8552717231214046,30,30,30
5000nodes_0p2density,7_original_unfolded,wilcoxon,211.0,0.6701805889606476,30,30,30
50nodes_0p02density,0_origineel_programma_bounded_negation_voor_herschrijving,wilcoxon,214.0,0.7035487646615979,30,30,30
50nodes_0p02density,1_positive_rewrite_proposition_6_3_toegepast,wilcoxon,177.0,0.2621222734451294,30,30,30
50nodes_0p02density,2_proposition_3.9_toegepast,wilcoxon,211.0,0.6701805889606476,30,30,30
50nodes_0p02density,3_unfolding,wilcoxon,156.0,0.11907656863331795,30,30,30
50nodes_0p02density,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,wilcoxon,199.0,0.5027610473334789,30,30,30
50nodes_0p02density,5_adoms_weggehaald,wilcoxon,231.0,0.9838335812091827,30,30,30
50nodes_0p02density,6_laatste_optimalisaties,wilcoxon,199.5,0.4972702365880902,30,30,30
50nodes_0p02density,7_original_unfolded,wilcoxon,187.5,0.35464130143509787,30,30,30
