dataset,variant,program,n,median_ms,mean_ms,sd_ms
5000nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,30,2723.1705,2734.8757333333333,64.08045659138925
5000nodes_0p02density,noopt,3_unfolding,30,6473.3060000000005,6510.776333333333,95.90862763115727
5000nodes_0p02density,noopt,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,6516.668,6527.991433333333,91.89392644884134
5000nodes_0p02density,noopt,5_adoms_weggehaald,30,6472.97,6495.0398,68.17503890438029
5000nodes_0p02density,noopt,6_laatste_optimalisaties,30,7257.4175,7251.755999999999,131.2775449183641
5000nodes_0p02density,noopt,7_original_unfolded,30,2558.346,2562.098266666667,28.160420311730643
5000nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,30,2749.4764999999998,2769.6138,74.95496440525542
5000nodes_0p02density,std,3_unfolding,30,6497.8805,6497.652533333333,85.28739760635423
5000nodes_0p02density,std,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,6497.5465,6514.706833333333,76.97563440828193
5000nodes_0p02density,std,5_adoms_weggehaald,30,6465.130999999999,6490.1984999999995,100.3368437575355
5000nodes_0p02density,std,6_laatste_optimalisaties,30,7199.389,7223.004033333334,124.63532894269602
5000nodes_0p02density,std,7_original_unfolded,30,2557.9085,2570.140966666667,39.124636383004244
5000nodes_0p1density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,30,10856.171,10870.407166666668,83.21031045410092
5000nodes_0p1density,noopt,3_unfolding,30,36575.6705,36547.60366666667,225.69920096711783
5000nodes_0p1density,noopt,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,36675.036,36651.4836,246.01585252224686
5000nodes_0p1density,noopt,5_adoms_weggehaald,30,36521.6695,36558.6883,211.20957811829015
5000nodes_0p1density,noopt,7_original_unfolded,30,9765.705,9782.994166666667,92.40494634435031
5000nodes_0p1density,std,0_origineel_programma_bounded_negation_voor_herschrijving,30,10894.135,10892.157533333335,174.65352739080453
5000nodes_0p1density,std,3_unfolding,30,36492.964,36532.450633333334,214.36882802221683
5000nodes_0p1density,std,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,36647.846000000005,36657.29993333333,189.74302230774742
5000nodes_0p1density,std,5_adoms_weggehaald,30,36563.6895,36553.754766666665,151.30135284434914
5000nodes_0p1density,std,7_original_unfolded,30,9740.9155,9747.326633333334,69.7985913801564
5000nodes_0p2density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,30,21840.575,21827.623533333335,132.67140427457815
5000nodes_0p2density,noopt,3_unfolding,30,80975.156,80977.72353333332,330.3377990497188
5000nodes_0p2density,noopt,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,80987.3455,81155.6649,1229.893948871015
5000nodes_0p2density,noopt,5_adoms_weggehaald,30,80709.34349999999,80771.3082,594.447053888442
5000nodes_0p2density,noopt,7_original_unfolded,30,19377.177499999998,19369.265233333335,131.29486695055567
5000nodes_0p2density,std,0_origineel_programma_bounded_negation_voor_herschrijving,30,21825.305500000002,21849.5844,199.35295328302038
5000nodes_0p2density,std,3_unfolding,30,80885.8855,80834.6941,410.30603321359126
5000nodes_0p2density,std,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,81043.371,80966.13666666667,382.5434262139928
5000nodes_0p2density,std,5_adoms_weggehaald,30,80824.602,80838.97843333334,657.7287990349664
5000nodes_0p2density,std,7_original_unfolded,30,19362.1695,19376.618033333332,146.4448280718678
50nodes_0p02density,noopt,0_origineel_programma_bounded_negation_voor_herschrijving,30,0.482,0.5536333333333334,0.16955692429008212
50nodes_0p02density,noopt,1_positive_rewrite_proposition_6_3_toegepast,30,119.2265,121.33276666666667,9.224217767726255
50nodes_0p02density,noopt,2_proposition_3.9_toegepast,30,117.1185,118.51796666666665,6.176187181611227
50nodes_0p02density,noopt,3_unfolding,30,0.7015,0.8333333333333334,0.318296471356754
50nodes_0p02density,noopt,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,0.6285000000000001,0.8272999999999999,0.3297348098511684
50nodes_0p02density,noopt,5_adoms_weggehaald,30,0.683,0.7676666666666667,0.24543955409151896
50nodes_0p02density,noopt,6_laatste_optimalisaties,30,0.366,0.4229,0.16261342990727087
50nodes_0p02density,noopt,7_original_unfolded,30,0.3865,0.45546666666666663,0.16856672337648693
50nodes_0p02density,std,0_origineel_programma_bounded_negation_voor_herschrijving,30,0.438,0.5494,0.23812306293899435
50nodes_0p02density,std,1_positive_rewrite_proposition_6_3_toegepast,30,117.58099999999999,118.09726666666667,4.2746444976874045
50nodes_0p02density,std,2_proposition_3.9_toegepast,30,116.9615,118.64386666666665,5.4503777074642255
50nodes_0p02density,std,3_unfolding,30,0.813,0.9437333333333334,0.35935832979827015
50nodes_0p02density,std,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,30,0.6819999999999999,0.8546666666666667,0.344933010321128
50nodes_0p02density,std,5_adoms_weggehaald,30,0.6575,0.7845666666666666,0.2877260051211717
50nodes_0p02density,std,6_laatste_optimalisaties,30,0.376,0.4714,0.1728269215937905
50nodes_0p02density,std,7_original_unfolded,30,0.3665,0.43256666666666665,0.152958115369768
